Player,team,experience_years
"Jordan Farmar","Memphis Grizzlies",10
"Jordan Hill","Indiana Pacers",7
"Jordan McRae","Cleveland Cavaliers",1
"Jordan Mickey","Boston Celtics",2
"Jose Calderon","Atlanta Hawks",12
"Josh Huestis","Oklahoma City Thunder",2
"Josh Smith","Houston Rockets",13
"Justin Holiday","Atlanta Hawks",5
"K.J. McDaniels","Houston Rockets",2
"Kawhi Leonard","San Antonio Spurs",6
"Kay Felder","Cleveland Cavaliers",1
"Kelly Olynyk","Boston Celtics",4
"Kelly Oubre","Washington Wizards",2
"Kent Bazemore","Atlanta Hawks",5
"Kevin Durant","Golden State Warriors",10
"Kevin Love","Cleveland Cavaliers",9
"Kevin Martin","San Antonio Spurs",11
"Kevin Seraphin","Indiana Pacers",6
"Kevon Looney","Golden State Warriors",2
"Khris Middleton","Milwaukee Bucks",5
"Kirk Hinrich","Atlanta Hawks",12
"Klay Thompson","Golden State Warriors",6
"Kris Humphries","Atlanta Hawks",12
"Kyle Anderson","San Antonio Spurs",3
"Kyle Korver","Atlanta Hawks",14
"Kyle Lowry","Toronto Raptors",11
"Kyle Singler","Oklahoma City Thunder",5
"Kyle Wiltjer","Houston Rockets",0
"Kyrie Irving","Cleveland Cavaliers",6
"LaMarcus Aldridge","San Antonio Spurs",11
"Lamar Patterson","Atlanta Hawks",1
"Lance Stephenson","Indiana Pacers",7
"Larry Sanders","Cleveland Cavaliers",6
"Lavoy Allen","Indiana Pacers",5
"LeBron James","Cleveland Cavaliers",14
"Leandro Barbosa","Golden State Warriors",13
"Lou Williams","Houston Rockets",12
"Lucas Nogueira","Toronto Raptors",3
"Luis Scola","Toronto Raptors",9
"Malcolm Brogdon","Milwaukee Bucks",1
"Malcolm Delaney","Atlanta Hawks",1
"Manu Ginobili","San Antonio Spurs",15
"Marc Gasol","Memphis Grizzlies",9
"Marcin Gortat","Washington Wizards",10
"Marcus Smart","Boston Celtics",3
"Marcus Thornton","Houston Rockets",7
"Mario Chalmers","Memphis Grizzlies",9
"Markieff Morris","Washington Wizards",6
"Marreese Speights","Golden State Warriors",9
"Matt Barnes","Golden State Warriors",13
"Matt Bonner","San Antonio Spurs",11
"Matthew Dellavedova","Cleveland Cavaliers",4
"Michael Beasley","Houston Rockets",9
"Michael Carter-Williams","Milwaukee Bucks",4
"Mike Conley","Memphis Grizzlies",10
"Mike Dunleavy","Atlanta Hawks",13
"Mike Muscala","Atlanta Hawks",4
"Mike Scott","Atlanta Hawks",5
"Miles Plumlee","Milwaukee Bucks",5
"Mirza Teletovic","Milwaukee Bucks",5
"Mitch McGary","Oklahoma City Thunder",1
"Mo Williams","Cleveland Cavaliers",12
"Monta Ellis","Indiana Pacers",11
"Montrezl Harrell","Houston Rockets",2
"Myles Turner","Indiana Pacers",2
"Nazr Mohammed","Oklahoma City Thunder",17
"Nene Hilario","Houston Rockets",15
"Nick Collison","Oklahoma City Thunder",13
"Nicolas Laprovittola","San Antonio Spurs",0
"Norman Powell","Toronto Raptors",2
"Norris Cole","Oklahoma City Thunder",5
"O.J. Mayo","Milwaukee Bucks",7
"Otto Porter","Washington Wizards",4
"P.J. Hairston","Memphis Grizzlies",1
"P.J. Tucker","Toronto Raptors",11
"Pascal Siakam","Toronto Raptors",1
"Patrick Beverley","Houston Rockets",5
"Patrick McCaw","Golden State Warriors",1
"Patrick Patterson","Toronto Raptors",7
"Patty Mills","San Antonio Spurs",8
"Pau Gasol","San Antonio Spurs",16
"Paul George","Indiana Pacers",7
"Paul Millsap","Atlanta Hawks",11
"R.J. Hunter","Boston Celtics",1
"Rakeem Christmas","Indiana Pacers",1
"Ramon Sessions","Washington Wizards",10
"Randy Foye","Oklahoma City Thunder",10
"Rashad Vaughn","Milwaukee Bucks",2
"Rasual Butler","San Antonio Spurs",13
"Raul Neto","Utah Jazz",2
"Ray McCallum","Memphis Grizzlies",2
"Richard Jefferson","Cleveland Cavaliers",16
"Rodney Hood","Utah Jazz",3
